"Barcelona, Spain","Avda. Diagonal 601 (6A) Barcelona, Spain 08028",Europe,41.388588,2.130409,SYNH
"Belgrade, Serbia","Resavska Street 23 11000 Belgrade, Serbia",Europe,44.807598,20.465766,SYNH
"Berlin, Germany","Joachimstaler Strasse 12 Berlin, Germany 10719",Europe,52.50239,13.330993,SYNH
"Bratislava, Slovakia","Na Hrebienku 1 811 02 Bratislava, Slovakia",Europe,48.150423,17.089571,SYNH
"Bucharest, Romania","Str. Tudor Arghezi No 8 UNIMED Center Building 6th floor, Room A2 District 2 020945 Bucharest, Romania",Europe,44.437272,26.105182,SYNH
"Budapest, Hungary","Kiralyhago ter 8 9. 5th floor, 1126 Budapest, Hungary",Europe,47.49544,19.018523,SYNH
"Edinburgh, United Kingdom","2 Pioneer Building, Edinburgh Technopole, Milton Bridge, Penicuik, EH26 0GB",Europe,55.859284,-3.206489,SYNH
"Farnborough, United Kingdom","1 Pinehurst Road Farnborough, Hampshire GU14 7BF United Kingdom",Europe,51.28476,-0.762857,SYNH
"Guichainville, France","9 Rue Du Clos De La Taille, Fumecon Guichainville, France 27930",Europe,48.977341,1.154003,SYNH
"Istanbul, Turkey","Nida Kule Iş Merkezi Göztepe, Merdivenköy Mah. Bora Sokak, No:1 Kat: 14 Daire: 51-52 Göztepe, Kadıköy 34732 Istanbul, Turkey",Europe,40.990859,29.075042,SYNH
"Kiev, Ukraine","10A, M. Bazhana Prospekt, 5th Floor, Office 5B, Kyiv, Ukraine 02140",Europe,50.4501,30.5234,SYNH
"Kiev, Ukraine","201-203, Kharkivske Shose Str., Building 2A, 15th Floor, Kyiv, Ukraine 02121",Europe,50.419093,30.655005,SYNH
"Kiev, Ukraine","24, Bulvarno-Kudryavska Str., Kyiv, Ukraine 01054",Europe,50.451211,30.497723,SYNH
"Kraków, Poland","Porto Office, Building B ul. Zielińskiego 22 30 320 Kraków Poland",Europe,50.045237,19.914562,SYNH
"Langenfeld, Germany","Katzbergstrasse 1 40764 Langenfeld, Germany",Europe,51.099269,6.939046,SYNH
"Lewes, United Kingdom","3 Bell Lane, Lewes East Sussex. UK BN7 1JU",Europe,50.869413,0.000493,SYNH
"Lisbon, Portugal","Ave. D. João II, 42, Building Mythos, Office 204, Parque das Nações, 1990-095 Lisbon, Portugal",Europe,38.774421,-9.097461,SYNH
"London, United Kingdom","10 Bloomsbury Way, 4th Floor, London WC1A 2SL, United Kingdom",Europe,51.517451,-0.123923,SYNH
